TotalSpectrum-x_point	TotalSpectrum-y_point	TotalSpectrum-x_line	TotalSpectrum-y_line	Subspectrum2-x_line	Subspectrum2-y_line	Subspectrum3-x_line	Subspectrum3-y_line
4.98499	134064	4.98499	134745	4.98499	138610	4.98499	144552
5.05874	136532	5.05874	137765	5.05874	140976	5.05874	145207
5.1323	140611	5.1323	141168	5.1323	143334	5.1323	146251
5.20566	143668	5.20566	143525	5.20566	144941	5.20566	147002
5.27883	144967	5.27883	144983	5.27883	145949	5.27883	147451
5.35181	145859	5.35181	145892	5.35181	146589	5.35181	147721
5.42458	145667	5.42458	146481	5.42458	147008	5.42458	147890
5.49714	146878	5.49714	146877	5.49714	147293	5.49714	148001
5.5695	146821	5.5695	147154	5.5695	147494	5.5695	148078
5.64165	147345	5.64165	147354	5.64165	147639	5.64165	148132
5.71359	147941	5.71359	147501	5.71359	147747	5.71359	148172
5.78531	147731	5.78531	147612	5.78531	147828	5.78531	148201
5.85682	147588	5.85682	147696	5.85682	147889	5.85682	148224
5.9281	148170	5.9281	147761	5.9281	147937	5.9281	148241
5.99916	148035	5.99916	147810	5.99916	147973	5.99916	148255
6.07	147436	6.07	147848	6.07	148001	6.07	148265
6.1406	147742	6.1406	147876	6.1406	148022	6.1406	148272
6.21098	148209	6.21098	147897	6.21098	148036	6.21098	148278
6.28112	148629	6.28112	147911	6.28112	148046	6.28112	148282
6.35102	147986	6.35102	147918	6.35102	148051	6.35102	148284
6.42069	147788	6.42069	147920	6.42069	148052	6.42069	148285
6.49011	147358	6.49011	147917	6.49011	148050	6.49011	148285
6.55929	148102	6.55929	147909	6.55929	148043	6.55929	148283
6.62822	147920	6.62822	147895	6.62822	148031	6.62822	148281
6.69691	148046	6.69691	147875	6.69691	148016	6.69691	148277
6.76534	147786	6.76534	147849	6.76534	147995	6.76534	148271
6.83352	148082	6.83352	147816	6.83352	147969	6.83352	148264
6.90143	146856	6.90143	147774	6.90143	147937	6.90143	148255
6.96909	148011	6.96909	147723	6.96909	147896	6.96909	148244
7.03649	147971	7.03649	147660	7.03649	147846	7.03649	148231
7.10362	147950	7.10362	147582	7.10362	147785	7.10362	148215
7.17049	147718	7.17049	147486	7.17049	147708	7.17049	148195
7.23708	147964	7.23708	147367	7.23708	147613	7.23708	148171
7.3034	146999	7.3034	147216	7.3034	147492	7.3034	148142
7.36945	147163	7.36945	147025	7.36945	147337	7.36945	148106
7.43522	146497	7.43522	146778	7.43522	147136	7.43522	148060
7.50071	146887	7.50071	146453	7.50071	146869	7.50071	148002
7.56592	146758	7.56592	146017	7.56592	146507	7.56592	147927
7.63084	145432	7.63084	145416	7.63084	146005	7.63084	147829
7.69547	145096	7.69547	144567	7.69547	145288	7.69547	147697
7.75982	143553	7.75982	143335	7.75982	144237	7.75982	147515
7.82387	141626	7.82387	141506	7.82387	142668	7.82387	147256
7.88763	139745	7.88763	138802	7.88763	140346	7.88763	146874
7.95109	135221	7.95109	135081	7.95109	137206	7.95109	146293
8.01425	130964	8.01425	131061	8.01425	134099	8.01425	145380
8.07711	129341	8.07711	128736	8.07711	133200	8.07711	143953
8.13967	128869	8.13967	128919	8.13967	135368	8.13967	141969
8.20192	131194	8.20192	130464	8.20192	138645	8.20192	140236
8.26386	133876	8.26386	133406	8.26386	141401	8.26386	140423
8.32549	137647	8.32549	137207	8.32549	143337	8.32549	142287
8.38681	141015	8.38681	140400	8.38681	144643	8.38681	144175
8.44781	142396	8.44781	142606	8.44781	145530	8.44781	145494
8.50849	143396	8.50849	144071	8.50849	146149	8.50849	146340
8.56885	145022	8.56885	145059	8.56885	146592	8.56885	146885
8.62889	145042	8.62889	145747	8.62889	146917	8.62889	147247
8.68861	146525	8.68861	146243	8.68861	147163	8.68861	147497
8.748	146717	8.748	146611	8.748	147353	8.748	147676
8.80705	147072	8.80705	146891	8.80705	147502	8.80705	147807
8.86578	146949	8.86578	147109	8.86578	147621	8.86578	147906
8.92417	147197	8.92417	147281	8.92417	147717	8.92417	147982
8.98223	147851	8.98223	147421	8.98223	147796	8.98223	148042
9.03995	147984	9.03995	147535	9.03995	147863	9.03995	148090
9.09733	147611	9.09733	147630	9.09733	147918	9.09733	148129
9.15436	146784	9.15436	147709	9.15436	147965	9.15436	148161
9.21106	147784	9.21106	147776	9.21106	148006	9.21106	148188
9.2674	147702	9.2674	147833	9.2674	148040	9.2674	148211
9.3234	147440	9.3234	147883	9.3234	148071	9.3234	148230
9.37904	147852	9.37904	147926	9.37904	148097	9.37904	148246
