Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\rotes_bls.txt
Date / time: 19.11.2024, 16:07:00
Sample: Rotes Bls
Comments: 8.2 mV
Channel #	Counts	Counts (folded)
    665	  19164	      0
    666	  19301	      0
    667	  19251	      0
    668	  19305	      0
    669	  19380	      0
    670	  19343	      0
    671	  19358	      0
    672	  19506	      0
    673	  19316	      0
    674	  19342	      0
    675	  19224	      0
    676	  19402	      0
    677	  19252	      0
    678	  19253	      0
    679	  19374	      0
    680	  19384	      0
    681	  19156	      0
    682	  19253	      0
    683	  19401	      0
    684	  19139	      0
    685	  19107	      0
    686	  19054	      0
    687	  19281	      0
    688	  18972	      0
    689	  19145	      0
    690	  19222	      0
    691	  18960	      0
    692	  19218	      0
    693	  18705	      0
    694	  19007	      0
    695	  19173	      0
    696	  19079	      0
    697	  18766	      0
    698	  18690	      0
    699	  18635	      0
    700	  18753	      0
    701	  18470	      0
    702	  18425	      0
    703	  18497	      0
    704	  18541	      0
    705	  18265	      0
    706	  18584	      0
    707	  18196	      0
    708	  18459	      0
    709	  18475	      0
    710	  17979	      0
    711	  18169	      0
    712	  18019	      0
    713	  18023	      0
    714	  17949	      0
    715	  17837	      0
    716	  17700	      0
    717	  17606	      0
    718	  17545	      0
    719	  17195	      0
    720	  17422	      0
    721	  17559	      0
    722	  17287	      0
    723	  17588	      0
    724	  17532	      0
    725	  17293	      0
    726	  17247	      0
    727	  17521	      0
    728	  17468	      0
    729	  17550	      0
    730	  17761	      0
    731	  17674	      0
    732	  17663	      0
    733	  17949	      0
    734	  17918	      0
    735	  17882	      0
    736	  18010	      0
    737	  17561	      0
    738	  17972	      0
    739	  17863	      0
    740	  17888	      0
    741	  17709	      0
    742	  17758	      0
    743	  17753	      0
    744	  17834	      0
    745	  17719	      0
    746	  18009	      0
    747	  17676	      0
    748	  17444	      0
    749	  17616	      0
    750	  17470	      0
    751	  17188	      0
    752	  17420	      0
    753	  17392	      0
    754	  17353	      0
    755	  17299	      0
    756	  17340	      0
    757	  17333	      0
    758	  17180	      0
    759	  17715	      0
    760	  17368	      0
    761	  17283	      0
    762	  17788	      0
    763	  17627	      0
    764	  17575	      0
    765	  17774	      0
    766	  17828	      0
    767	  17822	      0
    768	  18098	      0
    769	  18296	      0
    770	  18172	      0
    771	  18436	      0
    772	  18578	      0
    773	  18535	      0
    774	  18347	      0
    775	  18740	      0
    776	  18649	      0
    777	  18955	      0
    778	  18850	      0
    779	  18740	      0
    780	  19134	      0
    781	  18924	      0
    782	  18786	      0
    783	  19082	      0
    784	  19303	      0
    785	  18977	      0
    786	  18897	      0
    787	  19060	      0
    788	  18872	      0
    789	  18967	      0
    790	  18946	      0
    791	  19053	      0
    792	  19232	      0
    793	  19314	      0
    794	  19431	      0
    795	  18932	      0
    796	  19317	      0
    797	  19066	      0
    798	  19699	      0
    799	  19228	      0
    800	  19472	      0
    801	  19193	      0
    802	  19305	      0
    803	  19407	      0
    804	  19357	      0
    805	  19399	      0
    806	  19178	      0
    807	  19287	      0
    808	  19402	      0
    809	  19567	      0
    810	  19455	      0
    811	  19084	      0
    812	  19387	      0
    813	  19432	      0
    814	  19493	      0
    815	  19475	      0
    816	  19587	      0
    817	  19423	      0
    818	  19499	      0
    819	  19587	      0
    820	  19612	      0
    821	  19406	      0
    822	  19377	      0
    823	  19363	      0
    824	  19289	      0
    825	  19497	      0
    826	  19516	      0
    827	  19308	      0
    828	  19413	      0
    829	  19348	      0
    830	  19426	      0
    831	  19395	      0
    832	  19465	      0
    833	  19414	      0
    834	  19339	      0
    835	  19497	      0
    836	  19549	      0
    837	  19448	      0
    838	  19357	      0
    839	  19325	      0
    840	  19327	      0
    841	  19631	      0
    842	  19520	      0
    843	  19562	      0
    844	  19521	      0
    845	  19326	      0
    846	  19535	      0
    847	  19193	      0
    848	  19425	      0
    849	  19513	      0
    850	  19382	      0
    851	  19292	      0
    852	  19417	      0
    853	  19535	      0
    854	  19736	      0
    855	  19735	      0
    856	  19687	      0
